Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02/01/2015,368,370.2,367.5,368.25,368.5460607636,188501,4376,69471301,95180,50.49,2.7,0.25
01/01/2015,368,369,366.1,367.05,367.1250635963,127759,2702,46903531,52589,41.16,2.9,-0.95
31/12/2014,369,370.4,367.75,368.4,368.6446832829,149613,3549,55154037,66961,44.76,2.65,-0.6
30/12/2014,372.4,372.4,367.5,368.7,369.6077000321,96597,2959,35702995,35144,36.38,4.9,-3.7
29/12/2014,367.8,371.4,367.5,369.9,369.7145696396,160505,4292,59341037,72767,45.34,3.9,2.1
26/12/2014,370,372.35,366.3,367.7,368.0992768971,161941,4183,59610365,53247,32.88,6.05,-2.3
24/12/2014,376.85,378.4,368.85,371.95,375.1559153678,406323,10463,152434477,170841,42.05,9.55,-4.9
23/12/2014,375,377.3,372.9,374.85,374.2399274295,733080,4697,274347806,602623,82.2,4.4,-0.15
22/12/2014,370,378.35,369,374.5,374.0219978548,370127,7058,138435640,166646,45.02,9.35,4.5
19/12/2014,375.9,375.9,367.6,369.5,371.0602325522,393890,10470,146156915,194756,49.44,8.3,-6.4
18/12/2014,379,379,365.15,374.65,373.0021748073,262552,9163,97932467,79405,30.24,13.85,-4.35
17/12/2014,380.5,384.45,366.5,371.65,372.7171292672,633664,13165,236177427,400806,63.25,17.95,-8.85
16/12/2014,389,390,378,380.5,383.2398258463,444435,8693,170325192,243859,54.87,12,-8.5
15/12/2014,393,399.5,391.25,392.85,394.4188629248,236994,8221,93474904,109467,46.19,8.25,-0.15
12/12/2014,396,400,393,395.65,397.0419969976,241803,5450,96005946,107703,44.54,7,-0.35
11/12/2014,394.9,399,390.6,396.7,394.8828697149,327029,6954,129138150,136803,41.83,8.4,1.8
10/12/2014,394.55,396.35,386.35,394.9,390.8961489352,248269,5748,97047396,77726,31.31,10,0.35
09/12/2014,398,399.85,392,394.25,394.8053832917,438765,8479,173226784,251777,57.38,7.85,-3.75
08/12/2014,394.2,399.5,392.1,397.85,396.4720506048,536076,11721,212539151,195792,36.52,7.4,3.65
05/12/2014,383.95,392.1,382.4,391.45,388.5589534363,650013,11027,252568371,291307,44.82,9.7,7.5
04/12/2014,373,383.6,373,382.75,380.5635167727,1331357,19654,506665902,678008,50.93,10.6,9.75
03/12/2014,364.95,365,357.3,363,361.3308478944,186285,4348,67310517,44415,23.84,7.7,-1.95
02/12/2014,363.1,366.75,363.1,365.3,365.0580789801,142289,3339,51943749,64637,45.43,3.65,2.2
01/12/2014,363,366.75,362.65,364,364.4559795607,778502,3986,283729709,657164,84.41,4.1,1
28/11/2014,358.95,365.9,358.95,363,362.9071285245,335399,6517,121718688,159190,47.46,6.95,4.05
27/11/2014,363.3,364,355,360.75,358.0657577152,2307714,10974,826313362,1951221,84.55,9,-2.55
26/11/2014,357.6,366,357.6,363.3,362.3387147339,430619,11799,156029935,112299,26.08,8.4,5.7
25/11/2014,374.4,378.8,348.6,355.7,360.1813065216,1067292,23984,384418627,288564,27.04,30.2,-18.7
24/11/2014,376,376.15,372.7,374.4,374.5492581808,201936,3663,75634979,84766,41.98,3.45,-1.6
21/11/2014,368.25,376.9,368.25,376.25,374.3553574525,282569,6952,105781219,139050,49.21,8.65,8
20/11/2014,367.55,371.15,367.55,369.15,369.2660474703,312448,5829,115376438,153086,49,3.6,1.6
19/11/2014,369.2,377.1,366.6,367.75,372.2144750311,366355,7959,136362634,137801,37.61,10.5,-1.45
18/11/2014,369.85,371.7,366.9,369.2,369.4383109578,293326,5124,108365862,157571,53.72,4.8,-0.65
17/11/2014,369,371,364.2,369.55,368.0386802247,230221,4315,84730233,96998,42.13,6.8,0.55
14/11/2014,368,370.7,366.45,368.2,369.0270188221,200934,4605,74150075,81736,40.68,4.25,0.2
13/11/2014,368.15,370,366.55,368.25,368.1930911912,221688,4908,81623990,84736,38.22,3.45,0.1
12/11/2014,363.1,369.95,363.1,369.4,367.1662265122,237038,4194,87032348,103716,43.76,6.85,6.3
11/11/2014,370,372.15,362.6,363.75,365.7824900452,340789,6232,124654649,175247,51.42,9.55,-6.25
10/11/2014,358.4,372,356,370.85,365.628686031,819479,12835,299625030,447482,54.61,16,12.45
07/11/2014,360,360.6,352.95,355.65,354.5121300325,1623656,4943,575605747,1480225,91.17,7.65,-4.35
05/11/2014,355,359.45,355,358.35,357.9147250769,266620,8081,95427224,129152,48.44,4.45,3.35
03/11/2014,357.95,357.95,353.15,354.95,354.9139426556,2285906,4570,811299911,2174522,95.13,4.8,-3
31/10/2014,357,359.95,352.25,355.25,356.4545624975,650762,14173,231967084,182966,28.12,7.7,-1.75
30/10/2014,354,357.7,351.45,354.85,354.7943035859,209430,8089,74304571,83598,39.92,6.25,0.85
